city,AQI,PM2.5,PM10,SO2,NO2,CO,O3,main_pollution,time
铜仁地区,43,24,43,3,4,1.4,36,—,2019-02-08 03:00:00
黔西南州,24,9,24,2,6,0.4,63,—,2019-02-08 03:00:00
毕节市,115,87,118,10,10,0.8,62,PM2.5,2019-02-08 03:00:00
黔东南州,32,22,28,4,6,1.0,51,—,2019-02-08 03:00:00
黔南州,18,12,13,4,6,0.6,38,—,2019-02-08 03:00:00
昆明市,25,17,22,13,16,0.6,60,—,2019-02-08 03:00:00
曲靖市,36,5,36,8,7,0.5,57,—,2019-02-08 03:00:00
玉溪市,44,26,44,15,32,2.6,35,—,2019-02-08 03:00:00
保山市,34,15,34,5,6,0.4,70,—,2019-02-08 03:00:00
昭通市,58,38,66,10,26,1.0,58,PM10,2019-02-08 03:00:00
丽江市,25,3,10,8,4,0.6,79,—,2019-02-08 03:00:00
普洱市,38,26,23,4,16,0.4,40,—,2019-02-08 03:00:00
临沧市,43,30,23,8,8,0.8,46,—,2019-02-08 03:00:00
楚雄州,23,16,22,8,17,0.5,43,—,2019-02-08 03:00:00
红河州,40,20,40,12,8,0.4,76,—,2019-02-08 03:00:00
文山州,35,24,35,5,18,0.4,36,—,2019-02-08 03:00:00
西双版纳州,58,41,48,6,24,0.5,22,PM2.5,2019-02-08 03:00:00
大理州,36,10,36,4,2,0.6,96,—,2019-02-08 03:00:00
德宏州,44,28,44,6,26,0.8,20,—,2019-02-08 03:00:00
怒江州,36,22,36,10,6,1.0,38,—,2019-02-08 03:00:00
迪庆州,25,14,—,4,2,0.5,79,—,2019-02-08 03:00:00
拉萨市,28,8,26,3,5,0.5,89,—,2019-02-08 03:00:00
昌都市,24,10,24,2,10,1.1,32,—,2019-02-08 03:00:00
山南市,32,12,15,3,4,0.6,100,—,2019-02-08 03:00:00
日喀则市,29,4,8,8,8,0.6,92,—,2019-02-08 03:00:00
那曲地区,23,10,23,4,2,0.8,64,—,2019-02-08 03:00:00
阿里地区,22,9,—,9,7,0.4,70,—,2019-02-08 03:00:00
林芝市,26,8,13,3,3,0.6,82,—,2019-02-08 03:00:00
西安市,102,76,122,7,18,1.1,34,PM2.5,2019-02-08 03:00:00
铜川市,118,89,131,14,15,1.4,45,PM2.5,2019-02-08 03:00:00
宝鸡市,198,148,196,6,19,1.5,28,PM2.5,2019-02-08 03:00:00
咸阳市,103,77,123,9,15,1.0,44,PM2.5,2019-02-08 03:00:00
渭南市,75,55,96,6,11,0.8,49,PM2.5,2019-02-08 03:00:00
延安市,59,20,67,16,31,1.4,14,PM10,2019-02-08 03:00:00
汉中市,129,98,133,5,9,1.2,57,PM2.5,2019-02-08 03:00:00
榆林市,46,30,46,25,41,0.9,28,—,2019-02-08 03:00:00
安康市,89,66,98,20,10,0.9,53,PM2.5,2019-02-08 03:00:00
商洛市,104,78,107,26,11,1.2,49,PM2.5,2019-02-08 03:00:00
兰州市,94,32,138,45,20,0.4,58,PM10,2019-02-08 03:00:00
嘉峪关市,81,28,112,4,12,0.4,56,PM10,2019-02-08 03:00:00
金昌市,106,27,161,13,4,0.7,64,PM10,2019-02-08 03:00:00
白银市,108,37,166,4,4,0.4,44,PM10,2019-02-08 03:00:00
天水市,89,54,128,24,18,1.6,58,PM10,2019-02-08 03:00:00
武威市,120,37,190,4,4,0.5,66,PM10,2019-02-08 03:00:00
张掖市,84,35,118,16,7,0.6,62,PM10,2019-02-08 03:00:00
平凉市,84,25,117,5,13,0.6,58,PM10,2019-02-08 03:00:00
酒泉市,72,34,94,10,12,0.6,54,PM10,2019-02-08 03:00:00
庆阳市,90,30,129,10,6,0.5,58,PM10,2019-02-08 03:00:00
定西市,89,25,127,6,2,0.6,59,PM10,2019-02-08 03:00:00
陇南市,50,30,50,6,18,1.1,54,—,2019-02-08 03:00:00
临夏州,66,30,81,20,6,0.4,61,PM10,2019-02-08 03:00:00
甘南州,52,29,53,15,16,1.0,77,PM10,2019-02-08 03:00:00
西宁市,63,14,75,12,9,0.7,62,PM10,2019-02-08 03:00:00
海东地区,74,41,98,16,15,0.2,71,PM10,2019-02-08 03:00:00
海北州,63,30,75,23,15,1.2,75,PM10,2019-02-08 03:00:00
黄南州,49,17,49,13,9,0.8,50,—,2019-02-08 03:00:00
海南州,54,35,58,11,6,0.5,57,PM10,2019-02-08 03:00:00
果洛州,39,19,39,31,14,1.1,53,—,2019-02-08 03:00:00
玉树州,30,15,30,6,11,0.8,46,—,2019-02-08 03:00:00
海西州,38,20,38,8,10,0.8,62,—,2019-02-08 03:00:00
银川市,87,45,123,24,28,1.2,30,PM10,2019-02-08 03:00:00
石嘴山市,73,34,95,31,30,1.1,36,PM10,2019-02-08 03:00:00
吴忠市,148,45,246,11,7,0.5,58,PM10,2019-02-08 03:00:00
固原市,107,26,163,17,14,0.8,52,PM10,2019-02-08 03:00:00
中卫市,128,42,205,9,10,0.6,52,PM10,2019-02-08 03:00:00
乌鲁木齐市,68,49,37,6,62,1.5,20,PM2.5,2019-02-08 03:00:00
克拉玛依市,55,36,59,6,15,0.6,70,PM10,2019-02-08 03:00:00
吐鲁番地区,102,66,154,10,29,1.8,48,PM10,2019-02-08 03:00:00
哈密地区,52,20,54,2,4,1.8,62,PM10,2019-02-08 03:00:00
昌吉州,89,66,87,6,70,1.8,10,PM2.5,2019-02-08 03:00:00
博州,52,22,54,6,22,0.9,46,PM10,2019-02-08 03:00:00
库尔勒市,67,21,84,5,14,0.4,69,PM10,2019-02-08 03:00:00
阿克苏地区,134,70,218,12,36,1.0,33,PM10,2019-02-08 03:00:00
克州,150,86,250,5,8,0.9,38,PM10,2019-02-08 03:00:00
喀什地区,255,159,388,14,48,3.2,11,PM10,2019-02-08 03:00:00
和田地区,215,78,360,16,15,0.4,46,PM10,2019-02-08 03:00:00
伊犁哈萨克州,127,96,108,30,67,3.3,24,PM2.5,2019-02-08 03:00:00
塔城地区,46,20,46,4,5,0.1,70,—,2019-02-08 03:00:00
阿勒泰地区,65,47,—,3,8,1.1,34,PM2.5,2019-02-08 03:00:00
石河子市,79,58,76,14,24,0.9,62,PM2.5,2019-02-08 03:00:00
五家渠市,55,38,60,2,16,1.4,50,PM10,2019-02-08 03:00:00
北京市,18,8,18,3,14,0.3,52,—,2019-02-08 04:00:00
天津市,28,17,28,8,26,0.6,37,—,2019-02-08 04:00:00
石家庄市,59,40,67,14,15,0.7,46,PM10,2019-02-08 04:00:00
唐山市,58,41,60,14,26,1.1,31,PM2.5,2019-02-08 04:00:00
秦皇岛市,42,24,42,15,17,1.0,50,—,2019-02-08 04:00:00
邯郸市,57,30,64,16,10,0.7,60,PM10,2019-02-08 04:00:00
邢台市,80,59,102,27,13,0.7,51,PM2.5,2019-02-08 04:00:00
保定市,61,42,72,11,15,0.7,48,PM10,2019-02-08 04:00:00
承德市,23,13,23,6,4,0.5,66,—,2019-02-08 04:00:00
沧州市,54,35,58,31,15,1.0,51,PM10,2019-02-08 04:00:00
廊坊市,44,21,44,6,14,0.7,51,—,2019-02-08 04:00:00
衡水市,37,22,37,11,11,0.5,59,—,2019-02-08 04:00:00
张家口市,22,13,21,7,6,0.6,70,—,2019-02-08 04:00:00
太原市,87,64,106,23,25,1.1,40,PM2.5,2019-02-08 04:00:00
大同市,30,21,28,16,8,0.6,58,—,2019-02-08 04:00:00
阳泉市,64,44,78,20,20,1.0,44,PM10,2019-02-08 04:00:00
长治市,61,43,71,13,22,1.3,43,PM10,2019-02-08 04:00:00
晋城市,57,29,64,4,9,0.8,61,PM10,2019-02-08 04:00:00
朔州市,39,27,39,37,11,0.7,61,—,2019-02-08 04:00:00
晋中市,69,50,78,14,25,1.0,34,PM2.5,2019-02-08 04:00:00
运城市,62,42,74,2,6,1.0,65,PM10,2019-02-08 04:00:00
忻州市,73,53,86,25,13,0.9,57,PM2.5,2019-02-08 04:00:00
临汾市,109,82,110,30,16,1.8,40,PM2.5,2019-02-08 04:00:00
吕梁市,81,56,112,93,43,1.3,8,PM10,2019-02-08 04:00:00
呼和浩特市,39,25,39,21,34,1.7,31,—,2019-02-08 04:00:00
包头市,65,44,80,39,38,1.3,29,PM10,2019-02-08 04:00:00
乌海市,46,25,46,11,6,0.6,60,—,2019-02-08 04:00:00
赤峰市,31,20,31,18,9,0.6,50,—,2019-02-08 04:00:00
通辽市,41,24,41,11,9,0.4,53,—,2019-02-08 04:00:00
鄂尔多斯市,35,14,35,16,14,0.7,53,—,2019-02-08 04:00:00
呼伦贝尔市,26,18,26,2,6,0.4,55,—,2019-02-08 04:00:00
巴彦淖尔市,59,42,60,18,16,0.9,43,PM2.5,2019-02-08 04:00:00
乌兰察布市,20,14,20,26,10,0.4,60,—,2019-02-08 04:00:00
兴安盟,21,14,20,3,4,0.2,65,—,2019-02-08 04:00:00
锡林郭勒盟,12,8,12,18,2,0.4,38,—,2019-02-08 04:00:00
阿拉善盟,93,35,135,10,5,0.6,78,PM10,2019-02-08 04:00:00
沈阳市,70,51,90,22,30,0.9,30,"PM10,PM2.5",2019-02-08 04:00:00
大连市,39,16,39,16,11,0.6,58,—,2019-02-08 04:00:00
瓦房店市,26,8,26,19,9,0.2,74,—,2019-02-08 04:00:00
鞍山市,77,56,99,29,40,2.0,19,PM2.5,2019-02-08 04:00:00
抚顺市,65,44,79,15,24,0.8,27,PM10,2019-02-08 04:00:00
本溪市,61,31,71,17,28,1.7,20,PM10,2019-02-08 04:00:00
丹东市,43,12,43,10,5,0.4,54,—,2019-02-08 04:00:00
锦州市,51,28,52,34,18,1.0,36,PM10,2019-02-08 04:00:00
营口市,79,58,101,22,34,1.8,21,PM2.5,2019-02-08 04:00:00
阜新市,36,13,36,29,9,0.5,51,—,2019-02-08 04:00:00
辽阳市,73,52,95,40,34,2.0,14,PM10,2019-02-08 04:00:00
盘锦市,58,30,66,13,27,0.8,39,PM10,2019-02-08 04:00:00
铁岭市,77,56,103,16,22,0.6,31,"PM10,PM2.5",2019-02-08 04:00:00
朝阳市,46,30,46,32,19,1.3,30,—,2019-02-08 04:00:00
葫芦岛市,55,33,59,25,20,1.0,37,PM10,2019-02-08 04:00:00
长春市,34,23,34,27,15,0.5,40,—,2019-02-08 04:00:00
吉林市,52,28,53,13,12,0.8,51,PM10,2019-02-08 04:00:00
四平市,39,15,39,30,14,0.4,40,—,2019-02-08 04:00:00
辽源市,31,16,31,16,8,0.6,42,—,2019-02-08 04:00:00
通化市,54,38,54,13,34,1.4,14,PM2.5,2019-02-08 04:00:00
白山市,57,40,64,20,14,1.1,29,"PM10,PM2.5",2019-02-08 04:00:00
松原市,62,44,64,4,9,0.4,36,PM2.5,2019-02-08 04:00:00
白城市,53,37,40,10,11,0.3,54,PM2.5,2019-02-08 04:00:00
延边州,48,19,48,7,4,0.5,62,—,2019-02-08 04:00:00
哈尔滨市,46,30,46,28,18,0.6,43,—,2019-02-08 04:00:00
齐齐哈尔市,24,14,24,30,12,0.5,46,—,2019-02-08 04:00:00
鸡西市,20,10,17,2,4,0.3,64,—,2019-02-08 04:00:00
鹤岗市,29,14,29,8,5,0.5,65,—,2019-02-08 04:00:00
双鸭山市,29,20,—,4,3,0.4,63,—,2019-02-08 04:00:00
大庆市,26,17,26,17,14,0.3,43,—,2019-02-08 04:00:00
伊春市,24,12,24,4,4,0.2,58,—,2019-02-08 04:00:00
佳木斯市,22,10,22,10,7,0.4,58,—,2019-02-08 04:00:00
七台河市,20,14,20,8,6,0.3,60,—,2019-02-08 04:00:00
牡丹江市,56,39,61,2,8,0.4,60,PM10,2019-02-08 04:00:00
黑河市,22,13,20,6,6,0.4,69,—,2019-02-08 04:00:00
绥化市,29,20,29,4,2,0.3,42,—,2019-02-08 04:00:00
大兴安岭地区,32,22,—,10,8,0.4,70,—,2019-02-08 04:00:00
上海市,23,7,16,5,10,0.3,73,—,2019-02-08 04:00:00
南京市,20,13,16,5,9,0.3,63,—,2019-02-08 04:00:00
无锡市,21,10,13,4,7,0.5,67,—,2019-02-08 04:00:00
江阴市,26,10,11,4,7,0.3,83,—,2019-02-08 04:00:00
宜兴市,20,8,19,10,3,1.3,64,—,2019-02-08 04:00:00
徐州市,51,34,52,7,8,0.6,60,PM10,2019-02-08 04:00:00
常州市,24,8,13,4,9,0.5,74,—,2019-02-08 04:00:00
溧阳市,24,10,18,3,6,1.2,75,—,2019-02-08 04:00:00
金坛市,25,7,14,5,4,0.9,80,—,2019-02-08 04:00:00
苏州市,23,8,16,6,5,0.3,73,—,2019-02-08 04:00:00
常熟市,26,6,11,10,4,0.3,82,—,2019-02-08 04:00:00
张家港市,24,7,15,2,6,0.6,76,—,2019-02-08 04:00:00
昆山市,25,8,15,4,2,0.6,79,—,2019-02-08 04:00:00
吴江市,25,7,19,6,8,0.5,78,—,2019-02-08 04:00:00
太仓市,26,14,19,8,3,0.4,82,—,2019-02-08 04:00:00
南通市,24,7,12,4,3,0.2,76,—,2019-02-08 04:00:00
海门市,27,5,6,7,8,0.5,86,—,2019-02-08 04:00:00
连云港市,23,16,23,8,6,0.7,71,—,2019-02-08 04:00:00
淮安市,33,16,33,4,7,0.5,62,—,2019-02-08 04:00:00
盐城市,25,16,25,1,4,0.3,74,—,2019-02-08 04:00:00
扬州市,22,13,16,6,4,0.2,70,—,2019-02-08 04:00:00
镇江市,23,16,21,2,8,0.3,65,—,2019-02-08 04:00:00
句容市,26,8,15,4,5,0.8,82,—,2019-02-08 04:00:00
泰州市,24,16,22,3,7,0.5,74,—,2019-02-08 04:00:00
宿迁市,50,25,50,8,11,0.9,58,—,2019-02-08 04:00:00
杭州市,23,10,20,6,7,0.5,73,—,2019-02-08 04:00:00
富阳市,21,11,21,1,2,0.9,37,—,2019-02-08 04:00:00
临安市,22,8,22,2,2,0.8,29,—,2019-02-08 04:00:00
宁波市,24,7,20,4,8,0.5,76,—,2019-02-08 04:00:00
温州市,29,20,29,5,4,0.5,59,—,2019-02-08 04:00:00
嘉兴市,26,10,26,4,7,0.4,72,—,2019-02-08 04:00:00
湖州市,106,7,21,5,5,0.5,212,O3,2019-02-08 04:00:00
诸暨市,45,15,45,1,5,0.5,80,—,2019-02-08 04:00:00
金华市,26,8,26,3,6,0.4,66,—,2019-02-08 04:00:00
义乌市,—,—,—,—,—,—,—,—,2019-02-08 04:00:00
衢州市,20,8,20,2,6,0.6,50,—,2019-02-08 04:00:00
舟山市,22,7,20,5,5,0.5,70,—,2019-02-08 04:00:00
台州市,38,10,38,3,3,0.3,70,—,2019-02-08 04:00:00
丽水市,17,5,11,6,6,0.7,52,—,2019-02-08 04:00:00
绍兴市,22,8,21,5,7,0.5,70,—,2019-02-08 04:00:00
合肥市,23,16,—,2,7,0.3,67,—,2019-02-08 04:00:00
芜湖市,22,12,14,5,4,0.5,70,—,2019-02-08 04:00:00
蚌埠市,40,26,40,5,10,0.5,65,—,2019-02-08 04:00:00
淮南市,41,26,41,8,13,0.4,57,—,2019-02-08 04:00:00
马鞍山市,19,7,16,5,7,0.5,60,—,2019-02-08 04:00:00
淮北市,47,32,47,8,11,0.7,58,—,2019-02-08 04:00:00
铜陵市,35,24,30,11,10,0.5,65,—,2019-02-08 04:00:00
安庆市,26,18,24,10,12,0.4,69,—,2019-02-08 04:00:00
黄山市,20,6,13,12,13,0.7,61,—,2019-02-08 04:00:00
滁州市,32,22,20,5,9,0.6,38,—,2019-02-08 04:00:00
阜阳市,44,28,44,3,13,0.4,74,—,2019-02-08 04:00:00
宿州市,40,26,40,7,10,0.3,63,—,2019-02-08 04:00:00
六安市,26,18,25,5,7,0.3,56,—,2019-02-08 04:00:00
亳州市,52,34,54,5,11,0.4,57,PM10,2019-02-08 04:00:00
池州市,30,21,27,10,24,0.4,56,—,2019-02-08 04:00:00
宣城市,24,12,24,11,12,0.3,67,—,2019-02-08 04:00:00
福州市,23,5,10,4,5,0.5,71,—,2019-02-08 04:00:00
厦门市,20,7,20,3,6,0.8,58,—,2019-02-08 04:00:00
莆田市,20,5,7,5,8,0.6,62,—,2019-02-08 04:00:00
三明市,40,28,23,5,9,0.7,16,—,2019-02-08 04:00:00
泉州市,18,6,—,6,11,0.6,57,—,2019-02-08 04:00:00
漳州市,42,16,42,2,10,0.8,63,—,2019-02-08 04:00:00
南平市,23,16,11,3,8,0.7,59,—,2019-02-08 04:00:00
龙岩市,36,25,28,6,13,0.5,29,—,2019-02-08 04:00:00
宁德市,23,8,17,6,4,0.6,71,—,2019-02-08 04:00:00
南昌市,19,8,19,3,6,0.5,52,—,2019-02-08 04:00:00
景德镇市,13,6,10,4,2,0.6,41,—,2019-02-08 04:00:00
萍乡市,15,10,14,4,6,0.8,17,—,2019-02-08 04:00:00
九江市,18,9,7,5,6,0.6,55,—,2019-02-08 04:00:00
新余市,18,11,18,5,8,1.0,39,—,2019-02-08 04:00:00
鹰潭市,15,8,10,14,6,0.5,45,—,2019-02-08 04:00:00
赣州市,35,24,31,4,10,2.2,31,—,2019-02-08 04:00:00
吉安市,30,14,30,4,9,0.9,35,—,2019-02-08 04:00:00
宜春市,30,21,28,21,19,1.3,6,—,2019-02-08 04:00:00
抚州市,27,15,27,6,3,1.0,42,—,2019-02-08 04:00:00
上饶市,20,14,20,3,4,0.8,54,—,2019-02-08 04:00:00
济南市,53,29,56,21,26,1.0,40,PM10,2019-02-08 04:00:00
章丘市,58,24,65,31,16,0.8,44,PM10,2019-02-08 04:00:00
青岛市,27,10,27,7,5,0.5,61,—,2019-02-08 04:00:00
胶州市,23,9,21,7,5,0.5,73,—,2019-02-08 04:00:00
即墨市,29,9,29,8,8,0.4,70,—,2019-02-08 04:00:00
平度市,23,8,21,10,2,0.6,72,—,2019-02-08 04:00:00
胶南市,24,7,20,6,5,0.2,74,—,2019-02-08 04:00:00
莱西市,22,10,21,12,2,0.4,70,—,2019-02-08 04:00:00
淄博市,61,22,72,20,17,0.9,52,PM10,2019-02-08 04:00:00
枣庄市,56,33,62,11,9,0.6,55,PM10,2019-02-08 04:00:00
东营市,48,15,48,8,5,0.5,65,—,2019-02-08 04:00:00
烟台市,35,11,35,8,5,0.2,66,—,2019-02-08 04:00:00
莱州市,23,12,23,11,7,0.8,64,—,2019-02-08 04:00:00
蓬莱市,27,12,20,6,4,0.8,84,—,2019-02-08 04:00:00
招远市,25,10,23,10,5,0.4,79,—,2019-02-08 04:00:00
潍坊市,33,17,33,9,8,0.4,57,—,2019-02-08 04:00:00
寿光市,26,12,26,10,8,0.5,57,—,2019-02-08 04:00:00
济宁市,64,46,70,15,17,0.9,42,PM2.5,2019-02-08 04:00:00
泰安市,56,26,62,16,15,1.0,43,PM10,2019-02-08 04:00:00
威海市,30,8,30,6,3,0.2,77,—,2019-02-08 04:00:00
文登市,28,9,28,4,9,0.4,80,—,2019-02-08 04:00:00
荣成市,26,10,26,5,11,0.5,83,—,2019-02-08 04:00:00
乳山市,34,10,34,14,10,0.6,76,—,2019-02-08 04:00:00
日照市,22,10,21,5,3,0.3,70,—,2019-02-08 04:00:00
莱芜市,49,25,49,13,10,0.9,55,—,2019-02-08 04:00:00
临沂市,42,22,42,10,14,0.4,57,—,2019-02-08 04:00:00
德州市,36,13,36,13,9,0.5,55,—,2019-02-08 04:00:00
聊城市,36,13,36,15,13,0.7,64,—,2019-02-08 04:00:00
滨州市,65,19,79,33,15,0.8,57,PM10,2019-02-08 04:00:00
菏泽市,53,27,55,16,16,0.7,51,PM10,2019-02-08 04:00:00
郑州市,63,38,76,10,6,0.7,70,PM10,2019-02-08 04:00:00
开封市,54,30,58,12,13,0.4,72,PM10,2019-02-08 04:00:00
洛阳市,63,36,76,6,10,0.5,54,PM10,2019-02-08 04:00:00
平顶山市,62,44,69,12,9,0.8,65,PM2.5,2019-02-08 04:00:00
安阳市,55,34,60,14,10,0.8,65,PM10,2019-02-08 04:00:00
鹤壁市,56,35,62,14,9,0.6,56,PM10,2019-02-08 04:00:00
新乡市,60,33,69,11,6,0.7,63,PM10,2019-02-08 04:00:00
焦作市,63,37,75,13,13,0.7,53,PM10,2019-02-08 04:00:00
濮阳市,38,19,38,14,8,0.7,62,—,2019-02-08 04:00:00
许昌市,58,34,65,9,10,0.9,67,PM10,2019-02-08 04:00:00
漯河市,60,43,68,10,9,0.6,63,PM2.5,2019-02-08 04:00:00
三门峡市,65,37,79,8,10,0.8,42,PM10,2019-02-08 04:00:00
南阳市,70,51,71,3,9,0.8,60,PM2.5,2019-02-08 04:00:00
商丘市,63,45,63,9,13,0.7,41,PM2.5,2019-02-08 04:00:00
信阳市,58,41,55,4,6,0.4,64,PM2.5,2019-02-08 04:00:00
周口市,61,34,71,11,11,0.8,54,PM10,2019-02-08 04:00:00
驻马店市,70,51,73,4,5,0.9,58,PM2.5,2019-02-08 04:00:00
武汉市,36,25,29,6,12,0.8,53,—,2019-02-08 04:00:00
黄石市,43,30,26,3,10,0.7,49,—,2019-02-08 04:00:00
十堰市,63,45,73,6,10,1.0,64,PM2.5,2019-02-08 04:00:00
宜昌市,94,70,82,5,10,1.1,36,PM2.5,2019-02-08 04:00:00
襄阳市,70,51,74,6,8,0.9,60,PM2.5,2019-02-08 04:00:00
鄂州市,37,17,37,2,8,0.5,49,—,2019-02-08 04:00:00
荆门市,67,48,47,4,9,0.6,56,PM2.5,2019-02-08 04:00:00
孝感市,40,27,40,7,4,0.6,53,—,2019-02-08 04:00:00
荆州市,47,32,47,4,6,1.0,48,—,2019-02-08 04:00:00
黄冈市,34,20,34,2,4,0.6,48,—,2019-02-08 04:00:00
咸宁市,39,27,—,3,8,0.5,46,—,2019-02-08 04:00:00
随州市,53,35,55,5,8,0.7,55,PM10,2019-02-08 04:00:00
恩施州,104,78,106,4,16,1.0,2,PM2.5,2019-02-08 04:00:00
长沙市,19,13,—,3,10,0.8,32,—,2019-02-08 04:00:00
株洲市,19,13,9,5,14,0.7,26,—,2019-02-08 04:00:00
湘潭市,23,16,15,10,10,0.9,28,—,2019-02-08 04:00:00
衡阳市,17,11,17,5,16,1.1,24,—,2019-02-08 04:00:00
邵阳市,22,15,11,5,12,1.2,27,—,2019-02-08 04:00:00
岳阳市,36,25,29,4,5,1.1,50,—,2019-02-08 04:00:00
常德市,42,29,29,3,8,1.0,43,—,2019-02-08 04:00:00
张家界市,43,30,39,2,8,0.7,39,—,2019-02-08 04:00:00
益阳市,46,32,42,1,11,1.3,34,—,2019-02-08 04:00:00
郴州市,31,18,31,4,12,1.2,16,—,2019-02-08 04:00:00
永州市,52,36,54,3,25,1.1,20,"PM10,PM2.5",2019-02-08 04:00:00
怀化市,49,34,48,3,2,1.6,35,—,2019-02-08 04:00:00
娄底市,18,12,16,4,9,1.0,33,—,2019-02-08 04:00:00
湘西州,34,23,34,4,5,1.2,32,—,2019-02-08 04:00:00
广州市,26,18,25,4,17,0.6,37,—,2019-02-08 04:00:00
韶关市,69,50,60,9,15,1.1,27,PM2.5,2019-02-08 04:00:00
深圳市,29,20,24,4,16,0.5,26,—,2019-02-08 04:00:00
珠海市,26,18,25,5,13,0.8,35,—,2019-02-08 04:00:00
汕头市,64,46,55,7,16,0.9,36,PM2.5,2019-02-08 04:00:00
佛山市,25,16,25,5,13,0.6,33,—,2019-02-08 04:00:00
江门市,25,14,25,4,8,0.6,32,—,2019-02-08 04:00:00
湛江市,18,12,18,4,4,0.5,42,—,2019-02-08 04:00:00
茂名市,20,12,20,2,4,0.6,39,—,2019-02-08 04:00:00
肇庆市,22,14,22,8,5,0.4,50,—,2019-02-08 04:00:00
惠州市,35,24,30,7,12,0.7,32,—,2019-02-08 04:00:00
梅州市,43,30,33,6,10,0.6,35,—,2019-02-08 04:00:00
汕尾市,25,17,24,8,5,0.7,31,—,2019-02-08 04:00:00
河源市,38,26,30,5,8,0.8,46,—,2019-02-08 04:00:00
阳江市,24,15,24,4,2,0.6,54,—,2019-02-08 04:00:00
清远市,29,20,26,7,12,0.7,36,—,2019-02-08 04:00:00
东莞市,36,25,22,6,15,0.5,31,—,2019-02-08 04:00:00
中山市,25,17,20,4,6,0.6,26,—,2019-02-08 04:00:00
潮州市,46,32,44,8,10,0.8,22,—,2019-02-08 04:00:00
揭阳市,58,41,64,6,14,1.2,22,PM2.5,2019-02-08 04:00:00
云浮市,23,16,23,6,6,0.6,28,—,2019-02-08 04:00:00
南宁市,30,20,30,11,9,0.6,55,—,2019-02-08 04:00:00
柳州市,35,22,35,6,11,1.1,35,—,2019-02-08 04:00:00
桂林市,46,32,28,5,12,1.1,33,—,2019-02-08 04:00:00
梧州市,43,27,43,8,21,0.8,11,—,2019-02-08 04:00:00
北海市,30,11,30,5,10,0.7,39,—,2019-02-08 04:00:00
防城港市,30,18,30,6,16,0.7,52,—,2019-02-08 04:00:00
钦州市,37,23,32,109,9,1.1,57,—,2019-02-08 04:00:00
贵港市,42,29,40,21,10,0.6,35,—,2019-02-08 04:00:00
玉林市,32,22,31,8,4,0.6,46,—,2019-02-08 04:00:00
百色市,52,36,46,6,11,0.7,16,PM2.5,2019-02-08 04:00:00
贺州市,79,58,68,8,7,0.8,28,PM2.5,2019-02-08 04:00:00
河池市,52,36,49,6,7,0.7,49,PM2.5,2019-02-08 04:00:00
来宾市,62,30,74,8,10,0.6,38,PM10,2019-02-08 04:00:00
崇左市,42,28,42,6,8,0.6,45,—,2019-02-08 04:00:00
海口市,19,12,19,5,2,0.4,33,—,2019-02-08 04:00:00
三亚市,65,11,79,4,3,0.4,47,PM10,2019-02-08 04:00:00
重庆市,84,62,83,13,19,0.9,37,PM2.5,2019-02-08 04:00:00
成都市,88,65,91,6,13,0.7,50,PM2.5,2019-02-08 04:00:00
自贡市,139,106,134,7,17,0.9,52,PM2.5,2019-02-08 04:00:00
攀枝花市,37,21,35,110,53,1.5,15,—,2019-02-08 04:00:00
泸州市,85,63,94,14,23,1.0,26,PM2.5,2019-02-08 04:00:00
德阳市,70,51,76,4,9,0.7,54,PM2.5,2019-02-08 04:00:00
绵阳市,69,50,70,4,11,0.4,46,PM2.5,2019-02-08 04:00:00
广元市,65,47,76,8,11,0.9,56,PM2.5,2019-02-08 04:00:00
遂宁市,84,62,88,9,8,0.6,48,PM2.5,2019-02-08 04:00:00
内江市,128,97,112,10,17,1.0,51,PM2.5,2019-02-08 04:00:00
乐山市,133,101,129,9,15,0.9,62,PM2.5,2019-02-08 04:00:00
南充市,79,58,80,5,8,0.7,59,PM2.5,2019-02-08 04:00:00
眉山市,82,60,91,10,26,0.9,41,PM2.5,2019-02-08 04:00:00
宜宾市,127,96,124,11,27,0.9,25,PM2.5,2019-02-08 04:00:00
广安市,57,40,61,6,19,0.8,36,PM2.5,2019-02-08 04:00:00
达州市,62,44,66,8,23,0.5,41,PM2.5,2019-02-08 04:00:00
雅安市,83,61,84,5,14,0.8,71,PM2.5,2019-02-08 04:00:00
巴中市,58,41,62,3,16,0.5,17,PM2.5,2019-02-08 04:00:00
资阳市,125,95,128,9,12,0.8,62,PM2.5,2019-02-08 04:00:00
阿坝州,25,17,18,10,2,0.2,54,—,2019-02-08 04:00:00
甘孜州,30,20,30,22,3,0.4,41,—,2019-02-08 04:00:00
凉山州,22,15,22,15,9,0.8,64,—,2019-02-08 04:00:00
贵阳市,50,35,45,5,6,0.8,42,—,2019-02-08 04:00:00
六盘水市,82,60,78,16,22,1.4,38,PM2.5,2019-02-08 04:00:00
遵义市,30,20,30,10,6,0.6,48,—,2019-02-08 04:00:00
安顺市,63,45,56,15,13,0.9,45,PM2.5,2019-02-08 04:00:00
铜仁地区,32,18,32,3,4,1.4,35,—,2019-02-08 04:00:00
黔西南州,24,10,24,2,5,0.4,58,—,2019-02-08 04:00:00
毕节市,117,88,120,10,8,0.8,58,PM2.5,2019-02-08 04:00:00
黔东南州,25,17,22,5,8,1.0,49,—,2019-02-08 04:00:00
黔南州,29,20,—,4,5,0.6,37,—,2019-02-08 04:00:00
